TamMatriz	D1mrslow	D1mwslow	D1mrfast	D1mwfast
23	3698	927	3698	927
39	4469	1133	4469	1133
55	5271	1367	5163	1367
71	6077	1720	5892	1720
87	7180	2204	6638	2204
103	8436	2708	7472	2708
119	10740	3364	8391	3364
135	17058	4084	9435	4084
151	13760	4894	10527	4894
167	16251	5802	11736	5802
183	18502	6758	12940	6758
199	21567	7825	14318	7825
215	32971	8993	16162	8993
231	59192	10237	24676	10237
247	57349	11590	26774	11590
263	61990	13002	29000	13002
279	64383	14524	31316	14524
295	75666	16148	33711	16148
311	77349	17827	36161	17827
327	138764	19623	38769	19623
343	121735	21508	41415	21508
359	131968	23433	44163	23433
375	176152	25508	46979	25508
391	186944	27668	49925	27668
407	193484	29857	52891	29857
423	214223	32236	56054	32236
439	236552	34609	59216	34609
455	248118	37114	62510	37114
471	261041	39728	65841	39728
487	284297	42406	69326	42406
503	302005	45170	72910	45170
519	317207	48023	77562	48023
535	360454	50973	88783	50973
551	381620	54003	92804	54003
567	407107	57165	96974	57165
583	416501	60363	101188	60363
599	443641	63694	105557	63694
615	474571	67056	109937	67056
631	489065	70551	114442	70551
647	526640	74155	119059	74155
663	560701	77776	123690	77776
679	586809	81566	128472	81566
695	613541	85410	133367	85410
711	640736	89307	138208	89307
727	668655	93348	143273	93348
743	696927	97475	148372	97475
759	726267	101694	153610	101694
775	755804	105974	158867	105974
791	786125	110333	164240	110333
807	816985	114826	169718	114826
823	848470	119371	175298	119371
839	880521	124031	180923	124031
855	887829	128786	186660	128786
871	916206	133603	192458	133603
887	980231	138510	198349	138510
903	1014680	143521	204341	143521
919	1049746	148634	210459	148634
935	1082801	153806	216592	153806
951	1121640	159100	222911	159100
967	1158244	164477	229241	164477
983	1141279	169933	235716	169933
999	1184269	175490	242214	175490
1015	1272507	181140	248830	181140
1031	1313780	186862	257583	186862
1047	1368205	192639	278976	192639
1063	1408832	198514	286083	198514
1079	1450138	204538	293339	204538
1095	1491984	210624	300647	210624
1111	1531994	216792	308041	216792
1127	1577490	223083	315555	223083
1143	1621154	229441	323147	229441
1159	1665402	235884	330804	235884
1175	1710217	242424	338542	242424
1191	1755674	249024	346395	249024
1207	1801664	255752	354283	255752
1223	1848349	262571	362362	262571
1239	1905412	279315	380310	279315
1255	1953368	286423	388646	286423
1271	2001895	293601	397036	293601
1287	2051116	300904	405557	300904
1303	2100810	308300	414145	308300
1319	2151184	315752	422839	315752
1335	2202103	323327	431596	323327
1351	2253651	330985	440482	330985
1367	2305732	338704	449365	338704
1383	2358506	346534	458424	346534
1399	2411785	354441	467511	354441
1415	2441431	375109	489422	375109
1431	2587272	393299	554462	393299
1447	2643179	401775	564655	401775
1463	2628680	410317	574904	410317
1479	2756678	418927	585234	418927
1495	2814325	427643	595638	427643
1511	2872526	436389	606074	436389
1527	2931411	445305	616692	445305
1543	2984517	454292	627379	454292
1559	3050855	463336	638132	463336
1575	3111479	472527	648994	472527
1591	3172659	481749	659877	481749
1607	3234475	491108	670908	491108
1623	3296976	500512	682054	500512
1639	3359919	509999	693222	509999
1655	3423542	519646	704540	519646
1671	3487735	529323	715906	529323
1687	3552490	539073	727328	539073
1703	3617901	548984	738890	548984
1719	3683931	558919	750556	558919
1735	3750420	568949	762187	568949
1751	3817621	579091	774017	579091
1767	3885436	589344	785961	589344
1783	3953824	599667	797970	599667
1799	4022738	610053	810012	610053
1815	4092329	620540	822186	620540
1831	4162444	631137	834392	631137
1847	4233245	641798	846776	641798
1863	4304598	652584	859207	652584
1879	4376539	663456	871690	663456
1895	4449109	674404	884326	674404
1911	4522204	685407	896973	685407
1927	4599795	696514	913599	696514
1943	4701292	707714	953651	707714
1959	4776413	718976	966780	718976
1975	4852240	730386	980134	730386
1991	4928619	741869	993515	741869
2007	5005580	753425	1006974	753425
2023	5083169	765122	1020563	765122
2039	5161321	776876	1034196	776876
2055	5240109	788732	1047960	788732
2071	5321837	800628	1064152	800628
