TamMatriz	D1mrslow	D1mwslow	D1mrfast	D1mwfast
23	2915	772	2915	772
39	3664	971	3664	971
55	4044	1176	4044	1176
71	4804	1466	4726	1466
87	5877	1862	5677	1862
103	6689	2324	6480	2324
119	7961	2888	7330	2888
135	15100	3460	8266	3460
151	11019	4153	9240	4153
167	12620	4935	10309	4935
183	14246	5743	11400	5743
199	16526	6690	12666	6690
215	19199	7661	14325	7661
231	28495	8759	22686	8759
247	50319	9918	24610	9918
263	53215	11132	26650	11132
279	38915	12438	28752	12438
295	42783	13797	30930	13797
311	46916	15272	33193	15272
327	89763	16776	35518	16776
343	98240	18426	37941	18426
359	95301	20067	40435	20067
375	160131	21841	42967	21841
391	129849	23688	45620	23688
407	79564	25583	48318	25583
423	90361	27623	51144	27623
439	224636	29667	53977	29667
455	239850	31800	56956	31800
471	108009	34024	59919	34024
487	127323	36344	63048	36344
503	287922	38743	66248	38743
519	204790	41200	69498	41200
535	289427	43733	72829	43733
551	184659	46307	76191	46307
567	239660	49042	79709	49042
583	342213	51765	83233	51765
599	278570	54638	86888	54638
615	292418	57507	90556	57507
631	365864	60499	94331	60499
647	453807	63585	98211	63585
663	358640	66708	102124	66708
679	473073	69971	106152	69971
695	500804	73263	110253	73263
711	558674	76597	114333	76597
727	614767	80054	118606	80054
743	639601	83618	122909	83618
759	636742	87227	127311	87227
775	689412	90903	131751	90903
791	612973	94647	136293	94647
807	638682	98459	140877	98459
823	628179	102374	145614	102374
839	776593	106382	150346	106382
855	820411	110469	155239	110469
871	853328	114583	160116	114583
887	803794	118788	165100	118788
903	841871	123084	170163	123084
919	963584	127464	175325	127464
935	1001084	131910	180526	131910
951	1037481	136456	185862	136456
967	1088463	141049	191224	141049
983	1069171	145754	196711	145754
999	1104805	150523	202238	150523
1015	1176522	155353	207822	155353
1031	1232221	160266	213499	160266
1047	1232626	165245	219253	165245
1063	1291227	170297	225084	170297
1079	1373119	175430	230988	175430
1095	1377786	180655	236959	180655
1111	1374786	185925	243000	185925
1127	1429930	191300	249133	191300
1143	1515270	196781	255393	196781
1159	1560440	202310	261687	202310
1175	1617283	207904	268041	207904
1191	1565504	213567	274486	213567
1207	1722572	219351	280971	219351
1223	1743734	225167	287605	225167
1239	1742587	240974	304125	240974
1255	1791239	247111	311046	247111
1271	1817131	253264	317959	253264
1287	1929906	259537	325006	259537
1303	1994175	265896	332104	265896
1319	2069073	272304	339299	272304
1335	2017527	278793	346524	278793
1351	2173801	285425	353926	285425
1367	2193822	292048	361287	292048
1383	2220091	298777	368781	298777
1399	2327744	305575	376313	305575
1415	2248681	325163	396670	325163
1431	2500519	342257	460233	342257
1447	2554997	349567	468821	349567
1463	2535012	356946	477444	356946
1479	2604852	364365	486151	364365
1495	2721770	371902	494916	371902
1511	2778556	379460	503744	379460
1527	2814567	387157	512708	387157
1543	2824052	394915	521726	394915
1559	2952372	402725	530796	402725
1575	2992073	410685	539998	410685
1591	2922290	418625	549191	418625
1607	3111064	426719	558514	426719
1623	3192416	434799	567882	434799
1639	3253867	443046	577373	443046
1655	3313040	451344	586912	451344
1671	3257156	459716	596531	459716
1687	3441759	468130	606199	468130
1703	3445961	476640	615928	476640
1719	3569984	485223	625824	485223
1735	3634932	493928	635701	493928
1751	3700517	502674	645718	502674
1767	3766673	511500	655784	511500
1783	3833413	520373	665933	520373
1799	3900714	529354	676157	529354
1815	3841635	538396	686459	538396
1831	4037129	547585	696830	547585
1847	4106233	556772	707298	556772
1863	4175890	566057	717814	566057
1879	4246102	575408	728397	575408
1895	4316988	584870	739090	584870
1911	4388406	594380	749834	594380
1927	4464271	603966	764501	603966
1943	4564101	613651	802675	613651
1959	4403389	623355	813822	623355
1975	4711545	633177	825172	633177
1991	4786130	643086	836541	643086
2007	4861331	653036	847992	653036
2023	4937103	663110	859548	663110
2039	5013487	673244	871172	673244
2055	5090459	683460	882880	683460
2071	4972779	693737	894640	693737
