TamMatriz	D1mrslow	D1mwslow	D1mrfast	D1mwfast
23	2588	736	2588	736
39	3306	878	3306	878
55	3632	1069	3632	1069
71	3951	1328	3951	1328
87	4350	1721	4350	1721
103	5468	2145	5391	2145
119	6312	2652	6605	2652
135	7769	3190	7708	3190
151	9424	3861	8674	3861
167	10682	4550	9655	4550
183	11975	5300	10701	5300
199	13768	6163	11891	6163
215	15854	7065	13473	7065
231	24266	8064	21750	8064
247	46871	9128	23582	9128
263	29679	10250	25545	10250
279	32396	11435	27522	11435
295	35327	12696	29617	12696
311	38744	14034	31761	14034
327	42196	15429	33987	15429
343	45495	16924	36258	16924
359	85549	18455	38636	18455
375	84841	20056	41018	20056
391	57507	21764	43527	21764
407	61661	23489	46064	23489
423	66528	25356	48740	25356
439	70424	27238	51411	27238
455	234397	29182	54199	29182
471	81258	31240	57035	31240
487	99114	33360	59976	33360
503	264037	35543	62964	35543
519	98546	37791	66017	37791
535	269935	40121	69159	40121
551	110113	42489	72325	42489
567	173370	44974	75605	44974
583	138177	47492	78935	47492
599	149464	50110	82357	50110
615	215373	52746	85792	52746
631	147182	55508	89355	55508
647	155348	58314	92976	58314
663	164366	61211	96678	61211
679	216586	64171	100413	64171
695	223517	67194	104268	67194
711	527929	70281	108117	70281
727	449169	73440	112117	73440
743	509601	76688	116106	76688
759	597272	79998	120244	79998
775	463018	83358	124375	83358
791	349953	86805	128649	86805
807	253161	90303	132932	90303
823	478574	93905	137376	93905
839	277563	97559	141788	97559
855	603156	101287	146328	101287
871	665144	105101	150929	105101
887	579107	108949	155586	108949
903	320455	112893	160318	112893
919	375038	116892	165125	116892
935	356490	121000	170002	121000
951	729582	125142	174963	125142
967	486900	129347	179950	129347
983	1040994	133658	185075	133658
999	1073001	138025	190220	138025
1015	620272	142458	195445	142458
1031	702393	146962	200737	146962
1047	761649	151526	206097	151526
1063	860967	156161	211536	156161
1079	886266	160861	217017	160861
1095	910383	165666	222605	165666
1111	869159	170525	228267	170525
1127	915183	175432	233961	175432
1143	1422637	180443	239759	180443
1159	1482677	185508	245624	185508
1175	806452	190641	251527	190641
1191	1289568	195828	257534	195828
1207	1027283	201128	263574	201128
1223	1319000	206480	269766	206480
1239	1476277	221806	285815	221806
1255	1506832	227425	292254	227425
1271	1416385	233079	298701	233079
1287	1405853	238841	305266	238841
1303	1891323	244676	311879	244676
1319	1152854	250578	318573	250578
1335	1940445	256538	325325	256538
1351	1571368	262609	332197	262609
1367	1606583	268692	339046	268692
1383	1588289	274870	346009	274870
1399	1506797	281128	353050	281128
1415	2180300	287449	360154	287449
1431	2012093	293846	367337	293846
1447	1641379	300317	374604	300317
1463	2420297	306830	381868	306830
1479	1984679	313441	389295	313441
1495	2376388	320105	396730	320105
1511	2428410	326857	404258	326857
1527	2257575	333661	411848	333661
1543	2260004	340553	419530	340553
1559	2465058	347503	427255	347503
1575	2354331	354537	435077	354537
1591	2686133	361616	442923	361616
1607	2811446	368792	450873	368792
1623	2533522	376005	458890	376005
1639	3012411	383327	466975	383327
1655	2940003	390696	475117	390696
1671	2994054	398168	483362	398168
1687	2781707	405657	491647	405657
1703	3184516	413240	499981	413240
1719	2918423	420910	508474	420910
1735	3084458	428626	516907	428626
1751	3343706	436451	525532	436451
1767	3398574	444286	534149	444286
1783	3252889	452226	542883	452226
1799	3209456	460226	551645	460226
1815	3579890	468298	560516	468298
1831	3652101	476490	569424	476490
1847	3672570	484691	578434	484691
1863	3575863	492997	587498	492997
1879	3716240	501336	596613	501336
1895	3776855	509776	605810	509776
1911	4116462	518278	615082	518278
1927	4039635	526845	624418	526845
1943	4244207	535515	633898	535515
1959	4220868	544199	643314	544199
1975	3925333	552970	652899	552970
1991	4206153	561842	662530	561842
2007	4609060	570769	672226	570769
2023	4668039	579765	681972	579765
2039	4489845	588818	691801	588818
2055	4417439	597962	701723	597962
2071	4671888	607162	711676	607162
